team_id,team_name,team_lead_id,project_name,start_date,end_date
1,atlas_platform_migration_team,251,Atlas Platform Migration,2024-02-19,
2,customer_portal_redesign_team,237,Customer Portal Redesign,2024-02-18,2025-04-17
3,mobile_app_2.0_team,267,Mobile App 2.0,2024-09-01,2024-12-21
4,cloud_infrastructure_upgrade_team,387,Cloud Infrastructure Upgrade,2024-01-25,
5,data_analytics_platform_team,267,Data Analytics Platform,2025-03-12,
6,security_compliance_initiative_team,431,Security Compliance Initiative,2024-05-28,
7,api_gateway_implementation_team,311,API Gateway Implementation,2023-09-16,2024-08-08
8,devops_automation_team,73,DevOps Automation,2023-07-09,
9,ml_recommendation_engine_team,311,ML Recommendation Engine,2025-02-19,2025-03-29
10,customer_retention_program_team,387,Customer Retention Program,2024-10-22,
11,horizon_2026_strategic_planning_team,261,Horizon 2026 Strategic Planning,2024-01-23,2024-05-02
12,enterprise_crm_integration_team,185,Enterprise CRM Integration,2024-12-10,
13,marketplace_expansion_team,246,Marketplace Expansion,2025-03-05,
14,internal_knowledge_base_team,416,Internal Knowledge Base,2023-12-14,
15,performance_optimization_team,93,Performance Optimization,2024-03-23,
